Date,Open,High,Low,Close
04 April 2015,"?27,749","?27,903","?27,744","?27,837"
05 April 2015,"?27,885","?27,911","?27,713","?27,809"
06 April 2015,"?27,850","?28,071","?27,829","?27,958"
07 April 2015,"?27,893","?27,903","?27,614","?27,644"
08 April 2015,"?27,634","?27,676","?27,474","?27,531"
09 April 2015,"?27,447","?27,596","?27,364","?27,565"
10 April 2015,"?27,619","?27,666","?27,354","?27,507"
11 April 2015,"?27,553","?27,888","?27,467","?27,828"
12 April 2015,"?27,771","?27,959","?27,738","?27,849"
13 April 2015,"?27,891","?27,903","?27,147","?27,188"
14 April 2015,"?27,231","?27,276","?26,698","?26,837"
15 April 2015,"?26,941","?26,949","?26,552","?26,813"
16 April 2015,"?26,820","?27,014","?26,718","?26,768"
17 April 2015,"?26,814","?26,827","?26,473","?26,523"
18 April 2015,"?26,510","?26,605","?26,438","?26,481"
19 April 2015,"?26,517","?26,935","?26,493","?26,841"
20 April 2015,"?26,960","?27,000","?26,349","?26,371"
21 April 2015,"?26,340","?26,490","?26,307","?26,425"
22 April 2015,"?26,499","?26,729","?26,308","?26,587"
23 April 2015,"?26,587","?26,731","?26,380","?26,687"
24 April 2015,"?26,815","?26,983","?26,729","?26,833"
25 April 2015,"?26,917","?27,175","?26,910","?27,116"
26 April 2015,"?27,208","?27,405","?27,202","?27,316"
27 April 2015,"?27,427","?27,782","?27,417","?27,730"
28 April 2015,"?27,760","?27,883","?27,667","?27,804"
29 April 2015,"?27,852","?27,948","?27,647","?27,730"
30 April 2015,"?27,660","?27,969","?27,636","?27,896"
01 May 2015,"?27,881","?27,922","?27,675","?27,812"
02 May 2015,"?27,451","?27,695","?27,209","?27,645"
03 May 2015,"?27,627","?27,815","?27,571","?27,781"
04 May 2015,"?27,824","?28,099","?27,800","?28,021"
05 May 2015,"?28,100","?28,116","?27,906","?27,946"
06 May 2015,"?27,973","?28,135","?27,897","?28,093"
07 May 2015,"?27,857","?28,235","?27,775","?28,209"
08 May 2015,"?28,220","?28,335","?28,084","?28,172"
09 May 2015,"?28,031","?28,031","?27,636","?27,688"
10 May 2015,"?27,681","?27,798","?27,541","?27,574"
11 May 2015,"?27,705","?27,729","?27,531","?27,661"
12 May 2015,"?27,739","?28,005","?27,635","?27,961"
13 May 2015,"?27,987","?28,019","?27,854","?27,933"
14 May 2015,"?28,022","?28,218","?27,986","?28,198"
15 May 2015,"?28,260","?28,478","?28,246","?28,446"
16 May 2015,"?28,481","?28,576","?28,417","?28,463"
17 May 2015,"?28,544","?28,549","?28,320","?28,420"
18 May 2015,"?28,382","?28,518","?28,138","?28,182"
19 May 2015,"?28,159","?28,546","?28,071","?28,505"
20 May 2015,"?28,541","?28,578","?28,315","?28,371"
21 May 2015,"?28,391","?28,403","?28,084","?28,112"
22 May 2015,"?28,118","?28,118","?27,530","?27,561"
23 May 2015,"?27,630","?27,677","?27,416","?27,459"
24 May 2015,"?27,540","?27,609","?27,470","?27,563"
25 May 2015,"?27,686","?27,854","?27,650","?27,705"
26 May 2015,"?27,815","?28,161","?27,815","?28,115"
27 May 2015,"?28,089","?28,263","?28,071","?28,187"
28 May 2015,"?28,225","?28,265","?27,866","?28,072"
29 May 2015,"?28,138","?28,316","?28,136","?28,223"
30 May 2015,"?28,292","?28,360","?28,164","?28,298"
31 May 2015,"?28,327","?28,336","?28,194","?28,236"
01 June 2015,"?28,251","?28,418","?28,018","?28,102"
02 June 2015,"?28,193","?28,205","?27,826","?27,866"
03 June 2015,"?27,881","?27,883","?27,479","?27,512"
04 June 2015,"?27,635","?27,791","?27,496","?27,550"
05 June 2015,"?27,668","?28,101","?27,643","?28,067"
06 June 2015,"?28,094","?28,096","?27,739","?27,878"
07 June 2015,"?27,949","?28,041","?27,747","?27,832"
08 June 2015,"?27,852","?28,021","?27,721","?27,932"
09 June 2015,"?27,959","?27,965","?27,564","?27,608"
10 June 2015,"?27,440","?27,443","?27,131","?27,366"
11 June 2015,"?26,730","?26,730","?25,625","?25,742"
12 June 2015,"?25,916","?26,125","?25,298","?26,032"
13 June 2015,"?26,063","?26,157","?25,658","?25,715"
14 June 2015,"?26,137","?26,303","?25,944","?26,231"
15 June 2015,"?26,543","?26,687","?26,270","?26,392"
16 June 2015,"?26,469","?26,505","?26,215","?26,283"
17 June 2015,"?26,127","?26,141","?25,580","?25,696"
18 June 2015,"?25,892","?25,939","?25,395","?25,454"
19 June 2015,"?25,615","?25,835","?25,556","?25,765"
20 June 2015,"?25,773","?25,775","?25,119","?25,202"
21 June 2015,"?25,303","?25,387","?24,852","?24,894"
22 June 2015,"?24,972","?25,411","?24,834","?25,318"
23 June 2015,"?25,683","?25,821","?25,554","?25,720"
24 June 2015,"?25,523","?25,734","?25,288","?25,622"
25 June 2015,"?25,794","?25,876","?25,530","?25,610"
26 June 2015,"?25,707","?25,892","?25,531","?25,857"
27 June 2015,"?25,908","?25,910","?25,649","?25,706"
28 June 2015,"?25,884","?26,007","?25,817","?25,964"
29 June 2015,"?26,130","?26,472","?26,130","?26,219"
30 June 2015,"?26,108","?26,233","?25,973","?26,193"
01 July 2015,"?26,274","?26,339","?25,571","?25,652"
02 July 2015,"?25,527","?25,934","?25,386","?25,823"
03 July 2015,"?25,798","?25,950","?25,671","?25,864"
04 July 2015,"?25,923","?25,937","?25,594","?25,617"
05 July 2015,"?25,496","?26,054","?25,287","?25,779"
06 July 2015,"?25,987","?26,180","?25,918","?26,155"
07 July 2015,"?26,344","?26,432","?26,169","?26,221"
08 July 2015,"?26,379","?26,822","?26,375","?26,786"
09 July 2015,"?26,977","?27,010","?26,751","?26,933"
10 July 2015,"?26,967","?27,082","?26,878","?27,036"
11 July 2015,"?27,117","?27,120","?26,762","?26,846"
12 July 2015,"?26,975","?27,200","?26,911","?27,080"
13 July 2015,"?27,243","?27,305","?26,856","?26,904"
14 July 2015,"?26,874","?26,919","?26,719","?26,847"
15 July 2015,"?26,760","?26,869","?26,713","?26,780"
16 July 2015,"?26,842","?27,038","?26,837","?27,010"
17 July 2015,"?27,063","?27,239","?26,917","?27,215"
18 July 2015,"?27,306","?27,388","?27,247","?27,365"
19 July 2015,"?27,403","?27,432","?27,216","?27,307"
20 July 2015,"?27,312","?27,445","?27,191","?27,288"
21 July 2015,"?27,467","?27,555","?27,422","?27,471"
22 July 2015,"?27,575","?27,618","?27,318","?27,362"
23 July 2015,"?27,291","?27,296","?27,210","?27,253"
24 July 2015,"?27,132","?27,164","?26,920","?27,040"
25 July 2015,"?27,084","?27,099","?26,794","?26,838"
26 July 2015,"?26,878","?26,942","?26,585","?26,657"
27 July 2015,"?26,642","?26,824","?26,378","?26,559"
28 July 2015,"?26,661","?26,732","?26,514","?26,591"
29 July 2015,"?26,704","?26,800","?26,510","?26,553"
30 July 2015,"?26,558","?26,558","?26,243","?26,304"
31 July 2015,"?26,284","?26,439","?26,190","?26,265"
01 August 2015,"?25,809","?26,193","?25,657","?26,121"
02 August 2015,"?26,094","?26,094","?25,709","?25,743"
03 August 2015,"?25,935","?25,945","?25,853","?25,867"
04 August 2015,"?25,724","?25,724","?25,541","?25,611"
05 August 2015,"?25,580","?25,866","?25,451","?25,760"
06 August 2015,"?25,898","?25,948","?25,733","?25,864"
07 August 2015,"?25,838","?25,890","?25,453","?25,483"
08 August 2015,"?25,640","?25,885","?25,603","?25,842"
09 August 2015,"?25,856","?26,059","?25,770","?25,868"
10 August 2015,"?25,945","?25,958","?25,747","?25,819"
11 August 2015,"?25,786","?25,902","?25,704","?25,776"
12 August 2015,"?25,770","?26,016","?25,770","?25,959"
13 August 2015,"?26,003","?26,185","?25,937","?26,128"
14 August 2015,"?26,143","?26,231","?26,089","?26,146"
15 August 2015,"?26,201","?26,246","?26,122","?26,169"
16 August 2015,"?26,239","?26,256","?26,042","?26,118"
17 August 2015,"?26,124","?26,124","?25,857","?25,887"
18 August 2015,"?25,810","?25,810","?25,624","?25,638"
19 August 2015,"?25,746","?25,786","?25,478","?25,530"
20 August 2015,"?25,488","?25,542","?25,257","?25,310"
21 August 2015,"?25,299","?25,317","?25,012","?25,036"
22 August 2015,"?25,137","?25,290","?25,034","?25,252"
23 August 2015,"?25,282","?25,316","?24,930","?25,044"
24 August 2015,"?24,936","?25,194","?24,868","?25,150"
25 August 2015,"?25,187","?25,343","?25,076","?25,320"
26 August 2015,"?25,402","?25,573","?25,372","?25,494"
27 August 2015,"?25,597","?25,831","?25,448","?25,804"
28 August 2015,"?25,765","?25,790","?25,482","?25,519"
29 August 2015,"?25,425","?25,758","?25,414","?25,736"
30 August 2015,"?25,731","?25,787","?25,485","?25,591"
31 August 2015,"?25,698","?25,875","?25,690","?25,850"
01 September 2015,"?25,894","?25,922","?25,763","?25,839"
02 September 2015,"?25,859","?26,073","?25,857","?26,034"
03 September 2015,"?26,076","?26,134","?25,994","?26,079"
04 September 2015,"?26,124","?26,130","?25,939","?25,960"
05 September 2015,"?25,981","?26,148","?25,942","?26,118"
06 September 2015,"?26,102","?26,197","?26,008","?26,161"
07 September 2015,"?26,117","?26,117","?25,597","?25,623"
08 September 2015,"?25,745","?25,767","?25,514","?25,580"
09 September 2015,"?25,628","?25,633","?25,358","?25,406"
10 September 2015,"?25,225","?25,230","?24,826","?24,852"
11 September 2015,"?24,969","?25,084","?24,887","?24,934"
12 September 2015,"?24,787","?24,962","?24,599","?24,825"
13 September 2015,"?24,863","?24,882","?24,597","?24,682"
14 September 2015,"?24,805","?24,957","?24,388","?24,854"
15 September 2015,"?24,606","?25,018","?24,473","?24,773"
16 September 2015,"?24,882","?24,913","?24,422","?24,455"
17 September 2015,"?24,401","?24,525","?24,142","?24,188"
18 September 2015,"?24,257","?24,563","?24,247","?24,480"
19 September 2015,"?24,326","?24,326","?23,840","?24,062"
20 September 2015,"?24,195","?24,352","?23,862","?23,962"
21 September 2015,"?24,122","?24,473","?24,120","?24,436"
22 September 2015,"?24,541","?24,651","?24,434","?24,486"
23 September 2015,"?24,643","?24,646","?24,458","?24,492"
24 September 2015,"?24,482","?24,587","?24,401","?24,470"
25 September 2015,"?24,347","?24,912","?24,340","?24,871"
26 September 2015,"?24,982","?25,002","?24,789","?24,825"
27 September 2015,"?24,868","?24,929","?24,461","?24,539"
28 September 2015,"?24,394","?24,409","?24,188","?24,223"
29 September 2015,"?24,386","?24,514","?24,225","?24,338"
30 September 2015,"?24,360","?24,673","?24,346","?24,617"
01 October 2015,"?24,637","?24,699","?24,197","?24,287"
02 October 2015,"?24,077","?24,111","?23,919","?24,021"
03 October 2015,"?23,938","?23,938","?23,637","?23,759"
04 October 2015,"?23,758","?23,758","?22,909","?22,952"
05 October 2015,"?23,060","?23,161","?22,600","?22,986"
06 October 2015,"?23,223","?23,623","?23,198","?23,554"
07 October 2015,"?23,689","?23,692","?23,165","?23,192"
08 October 2015,"?23,237","?23,435","?22,921","?23,382"
09 October 2015,"?23,536","?23,735","?23,448","?23,649"
10 October 2015,"?23,640","?23,774","?23,508","?23,709"
11 October 2015,"?23,783","?23,855","?23,675","?23,789"
12 October 2015,"?23,850","?23,852","?23,362","?23,410"
13 October 2015,"?23,333","?23,339","?23,057","?23,089"
14 October 2015,"?23,105","?23,143","?22,948","?22,976"
15 October 2015,"?23,141","?23,228","?23,022","?23,154"
16 October 2015,"?23,239","?23,343","?22,495","?23,002"
17 October 2015,"?23,153","?23,821","?23,133","?23,779"
18 October 2015,"?24,045","?24,280","?24,044","?24,243"
19 October 2015,"?24,387","?24,641","?24,383","?24,607"
20 October 2015,"?24,705","?24,719","?24,532","?24,646"
21 October 2015,"?24,655","?24,794","?24,509","?24,659"
22 October 2015,"?24,527","?24,821","?24,452","?24,794"
23 October 2015,"?24,816","?24,817","?24,471","?24,623"
24 October 2015,"?24,620","?24,818","?24,552","?24,718"
25 October 2015,"?24,802","?24,961","?24,734","?24,804"
26 October 2015,"?24,832","?24,841","?24,517","?24,551"
27 October 2015,"?24,538","?24,707","?24,355","?24,682"
28 October 2015,"?24,852","?24,948","?24,577","?24,677"
29 October 2015,"?24,729","?24,987","?24,682","?24,953"
30 October 2015,"?25,008","?25,327","?24,988","?25,285"
31 October 2015,"?25,331","?25,381","?25,084","?25,330"
01 November 2015,"?25,322","?25,368","?25,157","?25,338"
02 November 2015,"?25,417","?25,433","?24,895","?24,966"
03 November 2015,"?24,957","?25,079","?24,836","?24,900"
04 November 2015,"?25,062","?25,359","?25,055","?25,339"
05 November 2015,"?25,365","?25,480","?25,223","?25,342"
06 November 2015,"?25,302","?25,355","?25,119","?25,270"
07 November 2015,"?25,334","?25,424","?25,223","?25,400"
08 November 2015,"?25,372","?25,372","?24,838","?24,884"
09 November 2015,"?24,979","?25,001","?24,834","?24,901"
10 November 2015,"?24,999","?25,013","?24,647","?24,685"
11 November 2015,"?24,666","?24,736","?24,609","?24,674"
12 November 2015,"?24,789","?25,050","?24,523","?25,022"
13 November 2015,"?25,056","?25,180","?24,996","?25,146"
14 November 2015,"?25,358","?25,672","?25,358","?25,627"
15 November 2015,"?25,833","?25,870","?25,634","?25,816"
16 November 2015,"?25,942","?25,956","?25,717","?25,844"
17 November 2015,"?25,980","?26,080","?25,783","?25,880"
18 November 2015,"?25,892","?25,922","?25,772","?25,838"
19 November 2015,"?25,891","?25,891","?25,586","?25,679"
20 November 2015,"?25,605","?26,055","?25,549","?26,007"
21 November 2015,"?25,956","?26,093","?25,885","?26,064"
22 November 2015,"?26,078","?26,101","?25,561","?25,603"
23 November 2015,"?25,613","?25,755","?25,424","?25,607"
24 November 2015,"?25,565","?25,565","?25,341","?25,437"
25 November 2015,"?25,500","?25,706","?25,193","?25,230"
26 November 2015,"?25,211","?25,246","?25,061","?25,102"
